Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo
Random core,613,C04,B05,7,613.5833333,613.5833333,0,0.29,1.84,9.89,0.06,0.58,0.79,22.72,0.13,73,0.74,0,349,104,5,29,57,113,0,6,0,0,0,34,0,855,11,60,6,18
Random core,613,C04,B05,9,613.75,613.75,0,0.4,2.54,12.06,0.04,0.66,0.85,24,0.14,101,0.8,120,368,89,5,29,47,100,0,9,0,0,0,33,0,870,14,63,6,18
Random core,613,C04,B05,11,613.9166667,613.9166667,0,0.42,2.61,12.14,0.03,0.72,0.82,23.26,0.13,78,0.86,145,446,117,5,34,50,152,0,7,0,0,2,38,0,936,9,60,0,30
Random core,613,C04,B05,13,614.0833333,614.0833333,0,0.44,2.99,11.59,0.03,0.73,0.91,22.56,0.14,75,0.89,166,480,113,6,34,49,99,0,6,0,0,2,40,0,854,12,77,0,28
Random core,613,C04,B05,15,614.25,614.25,0.32,0.54,3.94,14.14,0.06,0.81,1.21,18.73,0.2,76,1.08,0,570,138,6,38,65,135,8,11,0,0,3,54,0,695,15,81,6,33
Random core,613,C04,B05,17,614.4166667,614.4166667,0.37,0.58,4.66,17.4,0.06,1.04,1.51,15.06,0.25,84,1.47,117,544,170,9,41,86,130,11,14,0,0,5,71,12,595,13,98,7,39
Random core,613,C04,B05,19,614.5833333,614.5833333,0,0.51,3.76,15,0.05,0.96,1.09,18.19,0.19,97,1.28,0,553,147,7,33,68,131,12,13,0,10,3,54,0,662,13,76,7,42
Random core,613,C04,B05,21,614.75,614.75,0,0.46,3.33,13.82,0.04,0.96,0.92,20.47,0.18,72,1.26,141,548,86,7,38,63,132,0,13,0,10,2,43,0,713,11,63,0,40
Random core,613,C04,B05,23,614.9166667,614.9166667,0,0.48,2.66,11.02,0.04,0.87,0.78,24.09,0.14,115,1.12,0,549,107,7,31,52,100,0,13,0,0,2,37,0,831,10,54,0,32
Random core,613,C04,B05,25,615.0833333,615.0833333,0,0.41,2.03,13.95,0.05,0.72,0.66,22.14,0.12,77,0.8,0,455,94,5,35,46,219,0,7,0,0,2,34,0,836,0,49,0,31
Random core,613,C04,B05,27,615.25,615.25,0,0.41,1.42,8.28,0.05,0.51,0.54,28.49,0.08,112,0.49,0,368,86,3,27,28,90,7,6,0,0,0,18,0,1101,9,41,0,16
Random core,613,C04,B05,29,615.4166667,615.4166667,0,0.18,1.09,7.8,0.04,0.48,0.46,19.69,0.06,74,0.47,0,323,72,3,30,46,87,0,6,0,0,0,25,0,929,9,39,0,28
Random core,613,C04,B05,31,615.5833333,615.5833333,0.52,0.56,4.29,11.37,0.09,0.93,1.1,21.11,0.18,117,1.14,0,808,98,7,37,62,83,0,14,0,11,2,39,0,791,9,69,6,40
Random core,613,C04,B05,33,615.75,615.75,0,0.48,2.38,13.4,0.05,0.71,0.73,22.5,0.13,66,0.78,155,525,0,5,35,52,111,6,7,0,0,2,34,0,847,10,56,0,37
Random core,613,C04,B05,35,615.9166667,615.9166667,0,0.37,1.94,12.69,0.04,0.67,0.57,24.3,0.11,89,0.76,0,437,0,5,28,48,143,0,7,0,0,2,26,0,924,10,43,5,27
Random core,613,C04,B05,41,616.4166667,616.4166667,0,0.41,2.76,13.66,0.05,0.9,0.8,21.58,0.14,89,1.05,0,592,0,7,38,48,137,0,11,0,11,2,38,0,762,7,57,0,42
Random core,613,C04,B05,43,616.5833333,616.5833333,0.31,0.52,2.93,11.06,0.07,0.85,0.86,23.07,0.14,103,0.96,0,690,72,6,39,52,105,0,11,0,10,2,35,0,833,8,61,6,44
Random core,613,C04,B05,45,616.75,616.75,0,0.31,2.06,13.53,0.04,0.73,0.63,22.38,0.11,84,0.81,0,530,102,5,37,55,156,7,8,0,0,2,33,0,822,9,54,0,41
Random core,613,C04,B05,47,616.9166667,616.9166667,0,0.31,2.02,12.55,0.04,0.64,0.63,23.12,0.11,53,0.67,0,585,0,4,35,52,141,6,7,0,0,0,26,0,834,10,50,0,37
Random core,613,C04,B05,49,617.0833333,617.0833333,0,0.32,2.42,14.62,0.04,0.75,0.79,21.13,0.13,61,0.81,0,547,122,5,34,67,193,0,9,0,0,0,33,0,788,11,61,7,39
Random core,613,C04,B05,51,617.25,617.25,0.34,0.41,2.44,14.67,0.04,0.83,0.75,20.83,0.12,82,0.93,171,686,69,6,41,61,142,8,10,0,8,2,36,13,806,7,57,0,45
Random core,613,C04,B05,53,617.4166667,617.4166667,0,0.36,2.12,13.35,0.06,0.74,0.69,22.69,0.1,62,0.78,130,595,0,5,30,46,125,0,10,0,0,0,29,0,836,8,51,0,36
Random core,613,C04,B05,55,617.5833333,617.5833333,0,0.36,2.76,11.64,0.07,0.82,0.75,23.5,0.13,82,1.02,0,623,94,6,35,48,136,0,13,0,9,2,35,0,875,14,58,0,35
Random core,613,C04,B05,57,617.75,617.75,0,0.45,2.32,14.35,0.06,0.8,0.73,21.54,0.12,62,0.9,0,546,124,5,33,51,100,7,8,0,0,0,32,0,812,11,54,0,40
Random core,613,C04,B05,59,617.9166667,617.9166667,0.28,0.38,2.33,13.96,0.07,0.76,0.79,22.39,0.13,85,0.9,117,461,91,6,26,49,104,7,10,0,0,2,33,0,731,10,60,5,36
Random core,613,C04,B05,61,618.0833333,618.0833333,0,0.37,2.18,13.63,0.06,0.66,0.77,22.89,0.12,90,0.73,0,447,69,5,32,45,102,0,7,0,0,3,31,0,753,14,57,0,31
Random core,613,C04,B05,63,618.25,618.25,0,0.39,3.22,12.23,0.03,0.94,0.88,22.11,0.14,105,1.18,0,609,105,7,34,57,167,7,13,0,10,2,32,0,766,10,74,0,47
Random core,613,C04,B05,65,618.4166667,618.4166667,0,0.42,3.21,13.83,0.05,0.96,0.87,20.43,0.13,104,1.17,0,567,82,8,32,45,183,0,14,0,12,0,35,0,726,16,74,5,44
Random core,613,C04,B05,67,618.5833333,618.5833333,0.59,2.69,11.08,17.56,0,0.67,2.74,6.96,0.18,92,1,0,68,0,5,9,18,72,21,20,32,0,7,45,0,444,6,240,0,23
Random core,613,C04,B05,73,619.0833333,619.0833333,0,0.46,2.86,11.48,0.06,0.79,0.81,23.71,0.13,69,0.99,0,467,0,6,36,46,121,0,10,0,0,0,30,0,842,12,70,6,34
Random core,613,C04,B05,75,619.25,619.25,0,0.41,2.86,11.59,0.04,0.65,0.85,23.2,0.13,71,0.73,0,416,62,4,33,45,146,10,12,0,0,2,31,0,753,11,69,7,35
Random core,613,C04,B05,77,619.4166667,619.4166667,0,0.26,1.36,11.93,0.04,0.47,0.45,25.35,0.06,95,0.47,0,311,0,3,24,35,95,0,7,0,0,0,21,0,898,13,42,0,22
Random core,613,C04,B05,79,619.5833333,619.5833333,0,0.27,1.42,9.39,0,0.49,0.46,27.73,0.06,134,0.5,0,316,0,3,23,31,75,0,8,0,0,0,18,0,950,11,43,0,30
Random core,613,C04,B05,81,619.75,619.75,0,0.32,0.64,3.53,0.03,0.23,0.19,34.68,0.01,440,0.15,0,94,0,0,17,0,15,0,0,0,0,0,0,0,512,0,16,0,11
Random core,613,C04,B05,83,619.9166667,619.9166667,0.29,0.41,0.61,1.79,0.02,0.3,0.18,36.33,0.01,426,0.23,0,0,0,1,15,0,25,0,5,0,0,0,0,0,433,0,9,0,0
Random core,613,C04,B05,87,620.25,620.25,0,0.33,2.48,7.43,0,0.71,0.66,28.33,0.1,102,0.8,0,513,83,5,26,37,77,8,13,0,0,2,23,0,907,0,45,0,33
Random core,613,C04,B05,89,620.4166667,620.4166667,0,0,0.83,9.18,0.05,0.45,0.31,28.33,0.05,83,0.39,0,262,0,2,25,26,211,0,6,0,0,0,14,0,1234,0,30,0,25
Random core,613,C04,B05,91,620.5833333,620.5833333,0,0.36,1.71,7.22,0.08,0.91,0.55,28.95,0.08,107,1.03,0,481,0,7,29,35,221,0,10,0,0,0,22,0,947,10,39,0,36
Random core,613,C04,B05,93,620.75,620.75,0,0.24,1.08,9.58,0,0.5,0.4,28.2,0.06,104,0.47,0,332,0,3,22,24,66,0,6,0,0,0,14,0,1185,0,28,5,28
Random core,613,C04,B05,95,620.9166667,620.9166667,0,0.3,1.8,10.01,0.03,0.62,0.63,26.16,0.1,71,0.67,0,479,63,5,31,34,77,0,6,0,0,0,29,0,945,8,46,0,41
Random core,613,C04,B05,97,621.0833333,621.0833333,0,0.3,2.22,12.38,0.03,0.72,0.72,23.19,0.13,87,0.89,236,559,0,5,33,40,93,6,8,0,0,2,35,0,839,8,49,0,43
Random core,613,C04,B05,99,621.25,621.25,0,0.35,2.19,9.24,0.03,0.71,0.67,26.68,0.13,64,0.81,0,518,0,5,31,35,82,7,8,0,0,0,29,0,1081,13,45,5,34
Random core,613,C04,B05,101,621.4166667,621.4166667,0,0.46,4.28,10.58,0.02,0.83,1.06,22.64,0.18,93,1.14,0,772,81,7,33,56,69,7,15,0,0,2,38,0,837,0,66,0,45
Random core,613,C04,B05,103,621.5833333,621.5833333,0,0.41,2.52,9.91,0.06,0.8,0.74,24.77,0.14,91,0.95,0,590,89,6,37,52,109,0,9,0,9,0,32,0,966,13,61,5,40
Random core,613,C04,B05,105,621.75,621.75,0,0.32,1.99,11.36,0.03,0.64,0.64,25.13,0.1,62,0.7,0,498,68,4,29,48,111,0,8,0,0,2,28,0,1014,11,49,0,38
Random core,613,C04,B05,107,621.9166667,621.9166667,0,0.29,1.87,10.29,0.04,0.86,0.58,25.42,0.1,54,0.79,0,521,0,4,30,52,128,0,10,0,0,0,29,0,1095,10,46,0,44
Random core,613,C04,B05,109,622.0833333,622.0833333,0,0.27,1.74,9.55,0.03,0.73,0.46,27.48,0.09,89,0.8,0,479,0,5,31,39,109,0,11,0,0,0,19,0,1193,8,41,0,31
Random core,613,C04,B05,113,622.4166667,622.4166667,0,0.34,1.8,11.31,0.04,0.75,0.58,25.74,0.1,77,0.81,129,567,64,5,33,53,134,0,7,0,0,0,28,0,1125,8,44,0,49
Random core,613,C04,B05,115,622.5833333,622.5833333,0,0.3,1.33,9.73,0.03,1.01,0.42,27.53,0.08,85,0.69,122,453,0,4,32,43,127,0,8,0,0,0,15,0,1350,0,29,0,34
Random core,613,C04,B05,117,622.75,622.75,0,0.27,1.5,10.43,0.03,0.61,0.5,26.81,0.09,88,0.6,0,381,0,4,30,49,110,0,8,0,0,0,23,0,1227,0,37,0,29
Random core,613,C04,B05,119,622.9166667,622.9166667,0,0.21,1.34,10.8,0,0.52,0.47,26.74,0.07,74,0.45,0,343,0,2,25,29,85,0,0,0,0,0,17,0,1191,10,37,0,30
Random core,623,C04,B06,1,623.0833333,623.0833333,0,0.32,1.6,10.29,0.04,0.59,0.56,26.46,0.08,60,0.56,0,417,0,4,33,35,121,7,5,0,0,0,26,0,1164,8,44,0,34
Random core,623,C04,B06,3,623.25,623.25,0,0.31,1.91,11.75,0.03,0.64,0.63,24.85,0.09,82,0.65,0,437,0,4,31,42,96,0,6,0,0,0,27,0,1085,0,42,0,42
Random core,623,C04,B06,5,623.4166667,623.4166667,0,0.35,2.85,9.38,0.03,0.87,0.73,24.71,0.13,100,1.03,0,689,68,6,36,59,125,0,11,0,0,0,29,0,1064,12,65,0,52
Random core,623,C04,B06,7,623.5833333,623.5833333,0,0.3,2.06,9.59,0.02,0.75,0.6,25.98,0.12,74,0.84,140,445,100,6,30,47,214,8,11,0,0,0,20,0,1096,0,48,0,45
Random core,623,C04,B06,9,623.75,623.75,0,0.32,1.16,5.72,0.05,0.59,0.31,31.07,0.07,127,0.65,0,352,0,4,27,26,134,0,7,35,0,0,14,0,1197,9,35,0,20
Random core,623,C04,B06,11,623.9166667,623.9166667,0.39,0.46,3.35,9.23,0.05,1.22,0.8,22.34,0.18,78,1.5,0,692,0,9,41,66,122,7,16,0,0,0,34,0,785,8,70,0,61
Random core,623,C04,B06,13,624.0833333,624.0833333,0.34,0.36,2.37,12.56,0.03,0.85,0.66,22.89,0.14,85,0.93,0,492,0,6,34,54,96,0,8,0,0,2,30,0,757,8,58,6,44
Random core,623,C04,B06,15,624.25,624.25,0.35,0.34,2.94,12.26,0.03,1.1,0.81,21.37,0.17,85,1.3,0,584,92,8,39,58,128,7,16,0,0,0,31,0,719,10,67,0,55
Random core,623,C04,B06,17,624.4166667,624.4166667,0.43,0.47,3.89,11.98,0.02,1.16,0.95,20.28,0.17,92,1.45,138,595,76,9,38,66,149,13,16,0,0,0,34,0,686,0,63,0,51
Random core,623,C04,B06,19,624.5833333,624.5833333,0.34,0.41,2.84,12.98,0.02,1.05,0.79,21.58,0.16,80,1.23,0,489,89,8,36,57,134,7,12,0,10,2,34,0,724,10,63,6,48
Random core,623,C04,B06,21,624.75,624.75,0,0.25,1.74,10.05,0.03,0.75,0.49,26.12,0.09,57,0.74,144,590,0,5,35,43,139,0,8,0,0,0,22,0,918,0,47,0,49
Random core,623,C04,B06,23,624.9166667,624.9166667,0,0.26,1.95,11.01,0.07,0.82,0.57,24.74,0.11,65,0.88,0,496,82,5,38,59,111,0,8,0,0,0,22,0,843,10,61,0,44
Random core,623,C04,B06,25,625.0833333,625.0833333,0,0.37,2.45,12.9,0.06,1.04,0.77,22.94,0.15,78,1,0,567,110,6,39,63,169,7,9,0,0,2,38,0,789,8,68,6,64
Random core,623,C04,B06,27,625.25,625.25,0,0.45,3.82,10.6,0.04,1.02,0.87,23,0.17,110,1.32,140,592,100,8,37,47,80,8,18,0,0,0,30,0,744,8,69,8,54
Random core,623,C04,B06,31,625.5833333,625.5833333,0,0.32,1.71,10.83,0.02,0.76,0.48,26.26,0.1,77,0.79,0,450,0,5,43,48,178,0,8,0,0,0,21,0,948,0,42,0,40
Random core,623,C04,B06,33,625.75,625.75,0.36,0.39,1.76,12.58,0.07,0.71,0.58,25.06,0.11,74,0.77,0,437,0,4,29,43,101,0,9,0,0,0,25,0,882,0,48,0,36
Random core,623,C04,B06,35,625.9166667,625.9166667,0,0.37,1.52,12.4,0.05,0.64,0.5,25.06,0.08,86,0.65,0,293,0,4,28,36,113,0,7,0,0,0,23,0,849,0,36,0,36
Random core,623,C04,B06,37,626.0833333,626.0833333,0,0.47,2.08,10.2,0.07,0.74,0.68,25.82,0.11,122,0.85,0,404,69,5,28,43,88,0,11,0,0,2,31,0,787,0,47,0,37
Random core,623,C04,B06,39,626.25,626.25,0,0.49,0.99,9.27,0.03,0.4,0.32,29.39,0.04,306,0.36,0,221,0,2,22,25,54,0,0,0,0,0,10,0,688,0,24,0,16
Random core,623,C04,B06,41,626.4166667,626.4166667,0,0.38,0.49,3.25,0.04,0.24,0.19,35.24,0.02,316,0.15,0,77,0,1,17,0,31,0,0,0,0,0,7,0,472,0,0,0,13
Random core,623,C04,B06,43,626.5833333,626.5833333,0,0.53,0.69,1.47,0.03,0.24,0.21,35.53,0.02,259,0.19,0,96,0,1,18,0,17,0,0,0,0,0,0,0,406,0,16,0,0
Random core,623,C04,B06,45,626.75,626.75,0.4,0.5,2.52,13.32,0.08,0.89,0.72,21.82,0.14,56,1,0,493,65,6,37,51,165,0,12,0,0,0,30,0,770,11,62,6,52
Random core,623,C04,B06,47,626.9166667,626.9166667,0.61,0.46,2.97,13.61,0.1,1.14,0.63,21.73,0.15,112,1.32,241,524,0,9,39,53,187,0,16,0,9,0,27,0,730,12,66,0,59
Random core,623,C04,B06,49,627.0833333,627.0833333,0,0.37,2.31,12.53,0.07,0.84,0.64,22.75,0.14,84,0.96,0,625,66,6,39,63,240,0,11,0,0,0,30,0,851,0,59,0,46
Random core,623,C04,B06,51,627.25,627.25,0,0.44,2.79,10.57,0.07,1.11,0.51,23.98,0.12,98,1.43,0,411,0,10,34,31,50,0,17,31,0,0,20,0,843,10,47,0,42
Random core,623,C04,B06,53,627.4166667,627.4166667,0.33,0.37,2.23,13.34,0.04,0.78,0.63,22.01,0.12,89,0.84,119,599,68,5,35,51,103,0,13,31,0,0,30,0,761,15,54,5,52
Random core,623,C04,B06,55,627.5833333,627.5833333,0,0.26,1.59,15.65,0.02,0.66,0.52,22.09,0.09,69,0.63,0,471,0,3,32,49,173,0,9,0,0,0,21,0,763,0,39,0,41
Random core,623,C04,B06,57,627.75,627.75,0,0.35,1.92,12.26,0.04,0.67,0.54,24.53,0.11,105,0.69,0,553,0,5,27,42,65,0,9,0,0,0,20,0,827,10,44,0,38
Random core,623,C04,B06,59,627.9166667,627.9166667,0,0.37,1.46,9.54,0.04,0.69,0.51,27.32,0.07,79,0.64,0,531,0,4,30,29,82,0,8,0,9,0,21,0,1046,9,45,0,50
Random core,623,C04,B06,61,628.0833333,628.0833333,0,0.26,1.36,15.11,0.05,0.62,0.44,22.98,0.08,59,0.57,0,536,0,3,30,50,92,0,10,0,0,0,17,0,859,8,42,0,42
Random core,623,C04,B06,63,628.25,628.25,0,0.39,2.17,10.58,0.05,0.73,0.47,25.57,0.14,85,0.86,0,399,0,5,34,37,54,0,11,0,0,0,15,0,925,11,43,5,39
Random core,623,C04,B06,65,628.4166667,628.4166667,1.05,0.68,12.45,18.09,0.05,3.11,2.05,1.38,0.35,98,3.94,0,124,47,20,14,10,59,25,58,47,8,5,31,12,206,11,257,7,27
Random core,623,C04,B06,67,628.5833333,628.5833333,0,0.36,2.39,19.17,0.06,0.9,0.69,17.53,0.13,47,0.97,0,560,73,5,38,51,132,10,12,0,8,3,33,0,605,14,62,0,48
Random core,623,C04,B06,69,628.75,628.75,0.43,0.51,3.08,15.41,0.09,1.04,0.88,18.92,0.14,76,1.15,0,476,104,8,40,56,138,10,14,0,9,0,33,0,643,20,86,6,54
Random core,623,C04,B06,71,628.9166667,628.9166667,0.34,0.38,3.47,17.3,0.06,1.26,0.93,15.58,0.16,66,1.46,129,439,106,9,39,66,178,10,20,0,10,3,39,0,519,14,76,7,62
Random core,623,C04,B06,73,629.0833333,629.0833333,0.39,0.47,4.36,16.43,0.06,1.44,0.99,16.3,0.17,67,1.66,0,634,104,10,51,77,236,13,22,0,10,3,37,0,557,18,86,7,70
Random core,623,C04,B06,75,629.25,629.25,0.44,0.48,3.19,15.4,0.11,1.45,0.48,19.66,0.14,108,1.74,418,378,86,11,48,63,178,6,20,0,9,0,23,0,676,19,65,6,62
Random core,623,C04,B06,77,629.4166667,629.4166667,0,0.5,2.06,12.2,0.13,0.94,0.42,23.98,0.09,86,1.01,534,536,0,7,39,41,147,0,12,0,0,2,18,0,923,14,43,0,41
Random core,623,C04,B06,79,629.5833333,629.5833333,0,0.37,1.45,13.02,0.08,0.85,0.4,24,0.08,85,0.89,0,506,0,5,35,45,134,0,11,0,0,0,16,0,865,12,49,0,53
Random core,623,C04,B06,81,629.75,629.75,0,0.32,1.92,12.64,0.04,0.74,0.6,23.93,0.1,91,0.78,0,650,0,5,32,56,93,6,9,0,8,0,25,0,800,11,61,6,51
Random core,623,C04,B06,83,629.9166667,629.9166667,0.48,0.61,3.86,12.56,0.08,1.4,0.9,20.99,0.18,94,1.65,0,707,89,10,44,62,123,10,18,0,10,3,34,0,649,11,83,9,69
Random core,623,C04,B06,87,630.25,630.25,0,0.29,3,10.9,0.03,0.88,0.63,24.22,0.11,66,1,174,570,0,6,37,36,112,0,12,0,0,2,26,0,776,14,63,0,45
Random core,623,C04,B06,89,630.4166667,630.4166667,0,0.43,1.86,10.28,0.15,0.81,0.42,26.14,0.1,79,0.93,0,434,0,7,39,44,174,8,10,0,0,0,22,0,952,21,57,0,43
Random core,623,C04,B06,91,630.5833333,630.5833333,0,0.5,2.23,12.05,0.04,0.96,0.59,23.06,0.13,84,1.13,0,477,0,8,39,48,118,0,9,0,0,0,23,0,793,14,62,0,54
Random core,623,C04,B06,93,630.75,630.75,0,0.3,1.28,11.78,0.04,0.78,0.43,25.89,0.08,72,0.76,0,585,0,5,44,51,197,0,11,0,0,0,17,0,936,0,38,0,63
Random core,623,C04,B06,95,630.9166667,630.9166667,0,0.31,1.1,10.57,0.03,0.66,0.4,26.49,0.07,68,0.61,0,574,0,4,40,28,158,0,9,0,0,0,18,0,945,0,40,0,48
Random core,623,C04,B06,97,631.0833333,631.0833333,0,0.41,1.55,11.27,0.06,0.81,0.45,25.35,0.1,78,0.86,0,460,0,5,32,34,87,0,12,0,8,0,15,0,928,9,48,5,46
Random core,623,C04,B06,99,631.25,631.25,0,0.53,1.91,12.45,0.08,0.74,0.48,25.18,0.1,143,0.81,0,413,0,5,27,29,91,0,10,0,0,0,16,0,838,0,47,0,34
Random core,623,C04,B06,101,631.4166667,631.4166667,0,0.47,1.72,9.23,0.02,0.64,0.41,27.41,0.09,96,0.66,0,366,0,4,30,24,99,0,8,0,0,0,18,0,943,0,43,5,28
Random core,623,C04,B06,103,631.5833333,631.5833333,0,0.42,1.32,10.84,0.03,0.55,0.39,27.84,0.06,128,0.54,124,435,0,3,25,19,105,0,9,0,0,0,11,0,873,0,38,0,35
Random core,623,C04,B06,105,631.75,631.75,0,0.37,1.87,11.04,0.02,0.78,0.56,25.48,0.1,90,0.87,0,565,0,5,36,34,247,0,10,0,0,0,24,0,840,0,58,0,54
Random core,623,C04,B06,107,631.9166667,631.9166667,0.33,0.13,1.32,4.11,0.05,0.63,0.17,9.58,0.09,41,0.69,0,131,0,2,40,32,72,0,16,0,0,0,0,0,654,0,192,0,53
Random core,623,C04,B06,109,632.0833333,632.0833333,0.36,0.53,2.28,9.87,0.07,0.96,0.57,25.87,0.13,110,1.09,0,697,0,7,42,40,79,0,15,0,0,0,26,0,897,9,56,0,50
Random core,623,C04,B06,111,632.25,632.25,0.31,0.46,1.63,10.97,0.07,0.86,0.48,25.85,0.09,66,0.86,0,709,0,5,43,46,142,0,14,0,9,0,21,0,905,9,48,0,45
Random core,623,C04,B06,113,632.4166667,632.4166667,0,0.33,1.93,12.12,0.05,0.99,0.59,24.33,0.11,80,1.01,186,786,0,7,48,59,158,7,10,0,8,0,24,0,831,10,67,0,62
Random core,623,C04,B06,115,632.5833333,632.5833333,0,0.35,2.02,11.3,0.04,1.04,0.5,24.57,0.12,76,1.13,0,782,0,8,51,59,207,0,14,31,9,0,23,0,865,10,62,0,68
Random core,623,C04,B06,117,632.75,632.75,0.36,0.53,3.4,12.14,0.17,1.49,0.74,21.16,0.18,55,1.77,0,1102,0,11,71,69,218,0,23,0,12,0,35,0,728,15,94,6,92
Random core,623,C04,B06,119,632.9166667,632.9166667,0.33,0.37,1.46,8.59,0.06,0.61,0.33,28.72,0.07,83,0.63,0,386,0,4,27,17,140,0,7,0,0,0,16,0,1047,0,43,0,25
Random core,633,C04,B07,1,633.0833333,633.0833333,0,0.46,2.38,11.12,0.03,1.04,0.55,24.56,0.13,81,1.24,0,657,0,8,43,47,116,10,15,0,11,0,20,0,839,0,65,0,54
Random core,633,C04,B07,3,633.25,633.25,0,0.62,3.25,10.1,0.07,1.17,0.8,23.76,0.17,69,1.4,0,726,0,9,44,48,129,8,19,0,0,0,30,0,810,12,94,0,55
Random core,633,C04,B07,5,633.4166667,633.4166667,0.37,0.57,2.42,7.54,0.04,0.85,0.54,27.46,0.12,179,0.95,0,631,0,7,39,26,106,0,12,0,0,0,16,0,713,10,76,0,48
Random core,633,C04,B07,7,633.5833333,633.5833333,0,0.47,0.64,1.8,0,0.28,0.18,36,0.02,143,0.24,0,87,0,2,19,0,15,0,0,0,0,0,8,0,493,0,24,0,0
Random core,633,C04,B07,9,633.75,633.75,0.36,0.83,1.9,2.38,0.03,0.23,0.28,34.3,0.05,263,0.17,0,74,0,1,14,0,15,0,0,0,0,0,0,0,350,0,26,0,0
Random core,633,C04,B07,11,633.9166667,633.9166667,0,0.4,1.52,7.13,0.03,0.7,0.45,29.3,0.08,100,0.71,0,493,0,5,38,29,255,0,7,0,0,0,18,0,1004,8,44,0,35
Random core,633,C04,B07,13,634.0833333,634.0833333,0,0.26,0.28,3.18,0,0.25,0.16,34.67,0.02,151,0.19,0,158,0,1,16,0,26,0,5,0,0,0,0,0,547,0,23,0,13
Random core,633,C04,B07,15,634.25,634.25,0.55,0.57,5.18,10.54,0.05,1.32,0.9,20.11,0.25,101,1.73,121,661,62,12,48,40,114,12,25,0,12,2,31,0,625,14,110,6,63
Random core,633,C04,B07,17,634.4166667,634.4166667,0.35,0.44,3.14,9.59,0.08,1.12,0.63,24.14,0.18,98,1.33,0,667,0,9,47,53,268,10,20,32,0,0,25,18,761,14,76,8,63
Random core,633,C04,B07,19,634.5833333,634.5833333,0.42,0.64,5.57,12.55,0.03,1.44,1.34,17.65,0.21,110,1.77,0,854,0,10,52,69,225,21,26,0,9,3,39,0,589,9,105,9,77
Random core,633,C04,B07,21,634.75,634.75,0,0.61,2.13,13.27,0.08,1.02,0.55,23.25,0.13,67,1.09,125,587,0,8,43,49,180,11,13,0,0,0,25,0,899,11,60,6,54
Random core,633,C04,B07,23,634.9166667,634.9166667,0,0.48,2.37,11.1,0.06,1.21,0.58,23.86,0.14,43,1.34,230,782,0,9,57,63,206,8,15,0,10,3,29,0,835,13,74,6,81
Random core,633,C04,B07,25,635.0833333,635.0833333,0.35,0.73,3.19,10.29,0.14,1.25,0.64,23.86,0.2,89,1.47,198,605,85,9,49,51,88,0,17,0,0,0,31,14,853,13,81,5,70
Random core,633,C04,B07,27,635.25,635.25,0,0.71,2.12,9.42,0.11,1.1,0.43,26.55,0.12,94,1.32,0,427,0,9,45,45,91,0,13,0,0,0,18,0,939,12,54,5,56
Random core,633,C04,B07,29,635.4166667,635.4166667,0,0.89,2.03,11.05,0.08,0.93,0.52,25.04,0.11,61,1.06,0,606,0,7,43,43,103,0,11,0,0,0,22,0,980,8,49,0,53
Random core,633,C04,B07,31,635.5833333,635.5833333,0,0.45,1.69,12.64,0.03,0.87,0.44,24.17,0.1,68,0.9,0,555,0,6,40,48,164,0,9,0,0,0,20,0,927,8,47,0,49
Random core,633,C04,B07,33,635.75,635.75,0.3,0.87,2.81,12.92,0.6,1.09,0.7,21.55,0.15,93,1.28,137,580,86,8,44,54,151,9,13,0,8,3,38,15,876,23,79,0,47
Random core,633,C04,B07,37,636.0833333,636.0833333,0,0.7,2.57,14.81,0.07,1.21,0.7,20.91,0.15,76,1.38,196,586,81,9,51,73,189,8,17,0,10,0,30,0,760,8,67,6,58
Random core,633,C04,B07,39,636.25,636.25,0,0.62,1.26,7.82,0.18,0.6,0.28,29.39,0.06,106,0.68,0,372,0,5,28,23,107,0,6,0,0,0,11,0,1147,0,43,0,26
Random core,633,C04,B07,43,636.5833333,636.5833333,0,0.43,0.45,2.85,0.02,0.28,0.17,35.24,0.02,198,0.24,0,97,0,1,21,12,38,0,0,0,0,0,0,0,510,0,13,0,0
Random core,633,C04,B07,45,636.75,636.75,0,0.44,0.38,2.04,0,0.3,0.17,36.45,0.02,145,0.25,0,0,0,2,21,0,19,0,0,0,0,0,0,0,517,0,21,0,0
Random core,633,C04,B07,47,636.9166667,636.9166667,0,0.33,0.42,3.22,0,0.23,0.17,35.2,0.02,231,0.16,0,93,0,0,17,0,21,0,0,0,0,0,0,0,465,0,19,0,0
Random core,633,C04,B07,49,637.0833333,637.0833333,0,0.64,3.37,11.61,0.12,1.35,0.63,22.12,0.18,80,1.61,123,535,0,11,47,53,172,7,22,0,8,2,29,0,766,15,110,6,63
Random core,633,C04,B07,51,637.25,637.25,0.29,0.69,3.6,12.29,0.09,1.31,0.71,20.7,0.16,71,1.57,120,500,68,10,44,61,184,9,16,0,0,0,28,0,663,12,121,10,58
Random core,633,C04,B07,53,637.4166667,637.4166667,0,0.72,2.09,10.65,0.05,0.94,0.38,18.09,0.12,64,1.17,694,268,0,7,46,45,137,0,12,0,0,0,19,0,731,9,64,6,44
